Shanghai,DOW,Y
1151.06,1146.880005,5.43
1160.23,1165.209961,5.43
1164.67,1165.369995,5.43
1169.51,1180.22998,5.43
1191.19,1172.060059,5.43
1194.18,1174.160034,5.43
1187.48,1164.920044,5.43
1189.16,1158.709961,5.45
1201.01,1168.209961,5.45
1206.46,1170.359985,5.46
1185.5,1173.550049,5.46
1178.53,1179.449951,5.46
1188.62,1178.98999,5.46
1136.33,1180.640015,5.45
1114.05,1171.689941,5.45
1107.69,1160.359985,5.45
1124.64,1162.689941,5.45
1125.56,1151.099976,5.44
1098.82,1152.910034,5.42
1082.39,1153.589966,5.42
1035.66,1154.469971,5.42
1014.57,1171.689941,5.42
1142.02,1185.51001,5.42
1149.33,1193.939941,5.42
1105.95,1191.969971,5.42
1087.12,1191.560059,5.41
1057.4,1187.469971,5.44
1052.07,1176.969971,5.48
1031.55,1169.160034,5.48
1035.63,1165.73999,5.48
1012.55,1165.119995,5.51
1002.17,1161.349976,5.52
1005.23,1154.719971,5.52
964.09,1151.26001,5.52
863.41,1158.280029,5.53
781.21,1161.189941,5.54
850.94,1161.859985,5.53
858.38,1154.97998,5.53
939.46,1154.099976,5.53
933.44,1139.77002,5.53
939.51,1127.619995,5.53
932.32,1127.410034,5.53
916.25,1127.459961,5.52
884.1,1130.670044,5.51
849.57,1135.579956,5.51
877.89,1134.550049,5.51
863.77,1142.199951,5.51
848.2,1154.569946,5.54
823.27,1152.810059,5.55
824.96,1147.689941,5.55
787.67,1142.199951,5.55
764.11,1148.359985,5.55
753.58,1162.22998,5.55
702.83,1161.349976,5.55
640.12,1182.77002,5.55
635.74,1165.48999,5.56
692.78,1160.709961,5.57
776.29,1161.859985,5.57
734.98,1166.640015,5.57
738.16,1167.589966,5.57
769.04,1156.400024,5.57
761.72,1152.26001,5.58
754.4,1157.97998,5.58
733.44,1147.219971,5.58
722.7,1156.77002,5.59
712.37,1154.780029,5.59
730.57,1153.459961,5.59
729.79,1144.849976,5.59
724.7,1129.469971,5.59
710.63,1122.02002,5.59
702.32,1125.640015,5.62
679.62,1116.140015,5.67
674.24,1122.699951,5.71
665.26,1107.469971,5.73
643.69,1118.660034,5.75
660.29,1130.050049,5.75
690.57,1129.369995,5.75
673.99,1128.050049,5.8
663.75,1134.25,5.8
663.53,1137.079956,5.84
664.75,1138.609985,5.84
632.4,1140.810059,5.86
616.29,1145.540039,5.86
585.7,1152.199951,5.9
539.8,1165.959961,5.9
559.73,1165.01001,5.86
506.94,1168.219971,5.8
450.28,1169.949951,5.8
463.21,1164.02002,5.77
484.25,1174.72998,5.77
507.25,1169.420044,5.77
477.61,1163.599976,5.77
479.81,1171.890015,5.77
469.9,1173.619995,5.77
462.63,1172.680054,5.77
457.05,1168.319946,5.77
428.61,1171.420044,5.77
400.53,1171.790039,5.77
410.16,1169.060059,5.77
415.79,1156.930054,5.77
