Shanghai,P Change,Dow,P Change,Y,
307.87,0.0015591,1162.170044,0.003327477,5.48,0
307.95,0.000259782,1161.849976,0.000275405,5.48,0
308.53,0.001879882,1168.410034,-0.005646218,5.48,0
309.05,0.001682576,1155.75,0.010835266,5.48,0
311.61,0.008215397,1163.969971,-0.00711224,5.48,0
311.84,0.000737558,1155.52002,0.007259595,5.48,0
312.42,0.001856475,1158.660034,-0.002717403,5.48,0
312.73,0.00099127,1168.180054,-0.008216405,5.48,0
313.24,0.001628145,1167.849976,0.000282557,5.49,0.001821494
314.18,0.002991915,1169.650024,-0.001541335,5.49,0
314.72,0.001715811,1160.050049,0.008207562,5.49,0
315.56,0.002661934,1166.369995,-0.005447994,5.49,0
316.43,0.002749423,1169.01001,-0.002263446,5.49,0
316.44,3.16016E-05,1178.930054,-0.00848585,5.49,0
317.04,0.001892506,1166.560059,0.010492561,5.49,0
319.68,0.008258258,1171.130005,-0.003917455,5.49,0
319.77,0.000281452,1168.819946,0.001972504,5.49,0
337.11,0.051437216,1170.810059,-0.001702669,5.49,0
342.41,0.01547852,1192.829956,-0.018807403,5.48,-0.001824818
347.99,0.016034944,1190.569946,0.001894662,5.48,0
359.59,0.032258962,1186.920044,0.003065676,5.49,0.001821494
360.5,0.002524272,1177.089966,0.008282005,5.49,0
360.37,-0.00036074,1186.650024,-0.008121773,5.49,0
360.1,-0.000749792,1180.969971,0.004786629,5.49,0
362.45,0.006483653,1179.439941,0.001295571,5.48,-0.001824818
364.66,0.00606044,1184.199951,-0.004035822,5.48,0
365.39,0.001997865,1190.430054,-0.005261023,5.48,0
367,0.004386921,1184.939941,0.004611874,5.48,0
368.32,0.00358384,1174.780029,0.0085742,5.48,0
369.76,0.003894418,1163.930054,0.00923575,5.48,0
371.76,0.005379815,1161.939941,0.001709822,5.48,0
373.53,0.004738575,1166.51001,-0.003933137,5.48,0
375.23,0.004530555,1157,0.008152532,5.48,0
376.14,0.002419312,1157.689941,-0.000596319,5.48,0
